filename	*korp_id	*korp_alias	dialect_region	*dialect_region_name	dialect_group	*dialect_group_name	parish_title	parish
kare_muol1	muol	muolaa	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Muolaa	Muolaa
kare_nui1	nuij	nuijamaa	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Nuijamaa	Nuijamaa
kare_ruok1	ruok	ruokolahti	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Ruokolahti	Ruokolahti
kare_savtl1	savt	savitaipale	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Savitaipale	Savitaipale
kare_seis1	seis	seiskari	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Seiskari	Seiskari
kare_taip1	taip	taipalsaari	KAA	Kaakkoismurteet	KarE	Etelä-Karjala	Taipalsaari	Taipalsaari
kark_lumv1	lumv	lumivaara	KAA	Kaakkoismurteet	KarK	Keski-Karjala	Lumivaara	Lumivaara
kark_pari1	pari	parikkala	KAA	Kaakkoismurteet	KarK	Keski-Karjala	Parikkala	Parikkala
kark_ra_i1	raisa	raisala	KAA	Kaakkoismurteet	KarK	Keski-Karjala	Räisälä	Räisälä
kark_rautu1	rautu	rautu	KAA	Kaakkoismurteet	KarK	Keski-Karjala	Rautu	Rautu
kark_sor1	sort	sortavala	KAA	Kaakkoismurteet	KarK	Keski-Karjala	Sortavala	Sortavala
